filename,city,label_idx,image_path
image_11440.jpg,Izmir,2,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_11440.jpg
image_12749.jpg,Ankara,1,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_12749.jpg
image_14326.jpg,Izmir,2,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_14326.jpg
image_16823.jpg,Ankara,1,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_16823.jpg
image_12330.jpg,Izmir,2,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_12330.jpg
image_13282.jpg,Izmir,2,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_13282.jpg
image_14882.jpg,Ankara,1,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_14882.jpg
image_13705.jpg,Ankara,1,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_13705.jpg
image_12244.jpg,Istanbul,0,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_12244.jpg
image_12845.jpg,Istanbul,0,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_12845.jpg
image_14499.jpg,Istanbul,0,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_14499.jpg
image_15837.jpg,Izmir,2,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_15837.jpg
image_12618.jpg,Izmir,2,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_12618.jpg
image_11155.jpg,Istanbul,0,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_11155.jpg
image_11052.jpg,Ankara,1,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_11052.jpg
image_14454.jpg,Ankara,1,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_14454.jpg
image_13004.jpg,Izmir,2,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_13004.jpg
image_12886.jpg,Ankara,1,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_12886.jpg
image_10451.jpg,Istanbul,0,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_10451.jpg
image_15591.jpg,Izmir,2,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_15591.jpg
image_16339.jpg,Izmir,2,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_16339.jpg
image_10714.jpg,Istanbul,0,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_10714.jpg
image_11851.jpg,Istanbul,0,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_11851.jpg
image_11719.jpg,Ankara,1,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_11719.jpg
image_13509.jpg,Izmir,2,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_13509.jpg
image_14675.jpg,Izmir,2,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_14675.jpg
image_11835.jpg,Istanbul,0,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_11835.jpg
image_15006.jpg,Izmir,2,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_15006.jpg
image_14063.jpg,Izmir,2,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_14063.jpg
image_14761.jpg,Istanbul,0,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_14761.jpg
image_13050.jpg,Ankara,1,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_13050.jpg
image_11269.jpg,Izmir,2,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_11269.jpg
image_16251.jpg,Izmir,2,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_16251.jpg
image_14385.jpg,Izmir,2,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_14385.jpg
image_15110.jpg,Ankara,1,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_15110.jpg
image_10431.jpg,Izmir,2,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_10431.jpg
image_16553.jpg,Izmir,2,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_16553.jpg
image_12853.jpg,Istanbul,0,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_12853.jpg
image_15185.jpg,Istanbul,0,C:\Users\Sema\Desktop\DatathonAI\Dataset\train\train\image_15185.jpg
